[2025-04-23 13:00:12,630] 15 root - INFO - Initiate the data ingestion
[2025-04-23 13:00:14,904] 65 root - INFO - Performed train test split on the dataframe
[2025-04-23 13:00:14,904] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-23 13:00:14,905] 70 root - INFO - Exporting train and test file path
[2025-04-23 13:00:14,959] 78 root - INFO - Exported train and test file path
[2025-04-23 13:00:14,960] 17 root - INFO - Data initiation Completed
[2025-04-23 13:00:14,964] 20 root - INFO - Initiate the data validation
[2025-04-23 13:00:15,006] 37 root - INFO - Required number of columns:2
[2025-04-23 13:00:15,006] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 13:00:15,007] 37 root - INFO - Required number of columns:2
[2025-04-23 13:00:15,007] 38 root - INFO - Data Frame has columns: 31
