[2025-04-23 13:03:01,629] 15 root - INFO - Initiate the data ingestion
[2025-04-23 13:03:05,019] 65 root - INFO - Performed train test split on the dataframe
[2025-04-23 13:03:05,019] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-23 13:03:05,020] 70 root - INFO - Exporting train and test file path
[2025-04-23 13:03:05,074] 78 root - INFO - Exported train and test file path
[2025-04-23 13:03:05,075] 17 root - INFO - Data initiation Completed
[2025-04-23 13:03:05,078] 20 root - INFO - Initiate the data validation
[2025-04-23 13:03:05,121] 37 root - INFO - Required number of columns:2
[2025-04-23 13:03:05,121] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 13:03:05,122] 37 root - INFO - Required number of columns:2
[2025-04-23 13:03:05,122] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 13:03:05,236] 24 root - INFO - data validation completed
