[2025-04-23 13:25:05,169] 15 root - INFO - Initiate the data ingestion
[2025-04-23 13:25:08,277] 65 root - INFO - Performed train test split on the dataframe
[2025-04-23 13:25:08,277] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-23 13:25:08,277] 70 root - INFO - Exporting train and test file path
[2025-04-23 13:25:08,332] 78 root - INFO - Exported train and test file path
[2025-04-23 13:25:08,333] 17 root - INFO - Data initiation Completed
[2025-04-23 13:25:08,337] 20 root - INFO - Initiate the data validation
[2025-04-23 13:25:08,378] 37 root - INFO - Required number of columns:2
[2025-04-23 13:25:08,378] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 13:25:08,379] 37 root - INFO - Required number of columns:2
[2025-04-23 13:25:08,379] 38 root - INFO - Data Frame has columns: 31
