[2025-04-23 12:51:11,730] 15 root - INFO - Initiate the data ingestion
[2025-04-23 12:51:14,860] 65 root - INFO - Performed train test split on the dataframe
[2025-04-23 12:51:14,860] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-23 12:51:14,860] 70 root - INFO - Exporting train and test file path
[2025-04-23 12:51:14,919] 78 root - INFO - Exported train and test file path
[2025-04-23 12:51:14,920] 17 root - INFO - Data initiation Completed
[2025-04-23 12:51:14,923] 20 root - INFO - Initiate the data validation
[2025-04-23 12:51:14,974] 37 root - INFO - Required number of columns:2
[2025-04-23 12:51:14,974] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 12:51:14,974] 37 root - INFO - Required number of columns:2
[2025-04-23 12:51:14,974] 38 root - INFO - Data Frame has columns: 31
