[2025-04-23 13:15:19,682] 15 root - INFO - Initiate the data ingestion
[2025-04-23 13:15:25,679] 65 root - INFO - Performed train test split on the dataframe
[2025-04-23 13:15:25,679] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-23 13:15:25,679] 70 root - INFO - Exporting train and test file path
[2025-04-23 13:15:25,735] 78 root - INFO - Exported train and test file path
[2025-04-23 13:15:25,736] 17 root - INFO - Data initiation Completed
[2025-04-23 13:15:25,740] 20 root - INFO - Initiate the data validation
[2025-04-23 13:15:25,785] 37 root - INFO - Required number of columns:2
[2025-04-23 13:15:25,785] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 13:15:25,786] 37 root - INFO - Required number of columns:2
[2025-04-23 13:15:25,786] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 13:15:25,918] 24 root - INFO - data validation completed
