[2025-04-23 12:58:25,385] 15 root - INFO - Initiate the data ingestion
[2025-04-23 12:58:27,505] 65 root - INFO - Performed train test split on the dataframe
[2025-04-23 12:58:27,505] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-23 12:58:27,505] 70 root - INFO - Exporting train and test file path
[2025-04-23 12:58:27,562] 78 root - INFO - Exported train and test file path
[2025-04-23 12:58:27,563] 17 root - INFO - Data initiation Completed
[2025-04-23 12:58:27,566] 20 root - INFO - Initiate the data validation
[2025-04-23 12:58:27,611] 37 root - INFO - Required number of columns:2
[2025-04-23 12:58:27,611] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 12:58:27,612] 37 root - INFO - Required number of columns:2
[2025-04-23 12:58:27,612] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 12:58:27,731] 24 root - INFO - data validation completed
